cell,keyword,group,expected_branch,actual_branch,branch_correct,category,aliases,aliases_count,aliases_has_qualifier,summary_len,etymology_len,naming_len,naming_under_270,naming_last_sentence,naming_last_sentence_len,typo_suggestion,typo_suggestion_correct,thinking_chars,input_tokens,output_tokens,cache_read_tokens,cache_create_tokens,stop_reason,latency_ms
closing__selfcheck__alias_strict,jpa,in_shot,term_entry,term_entry,True,DB,Java Persistence API | 자바 영속성 API,2,True,29,160,255,True,"2006년 Java EE 5(JSR-220)의 일부로 처음 정의되었으며, Hibernate와 EclipseLink가 이 명세를 구현하는 대표적인 프레임워크다.",88,,,735,332,1212,3783,0,tool_use,16291
closing__selfcheck__alias_strict,daemon,in_shot,term_entry,term_entry,True,기타,데몬 | demon,2,False,20,98,191,True,"Unix 관습에 따라 프로세스 이름 끝에 'd'를 붙인다(httpd, sshd).",45,,,575,331,733,3783,0,tool_use,6487
closing__selfcheck__alias_strict,bug,in_shot,term_entry,term_entry,True,기타,버그,1,False,21,122,299,False,당시 나방이 붙어 있던 로그 카드는 현재 스미스소니언 국립 미국사 박물관에 실물로 보관되어 있다.,54,,,929,331,1536,3783,0,tool_use,18365
closing__selfcheck__alias_strict,idempotent,out_of_shot,term_entry,term_entry,True,네트워크,멱등성 | 멱등,2,False,26,99,237,True,분산 시스템에서 네트워크 오류로 재시도가 발생해도 부작용이 없음을 보장할 때 핵심 설계 기준으로 삼는다.,58,,,1486,334,1784,3783,0,tool_use,26024
closing__selfcheck__alias_strict,cookie,out_of_shot,term_entry,term_entry,True,네트워크,쿠키,1,False,26,121,293,False,"Unix의 'magic cookie'가 이미 '출처를 알 필요 없이 그냥 돌려주는 불투명한 값'이라는 의미로 쓰이고 있었기 때문에, Montulli는 이를 웹의 세션 유지 문제에 적용하면서 앞의 'magic'을 떼고 'cookie'만 남겼다.",135,,,1392,331,1423,3783,0,tool_use,21534
closing__selfcheck__alias_strict,semaphore,out_of_shot,term_entry,term_entry,True,동시성,세마포어 | 세마포,2,False,29,107,285,False,"Dijkstra가 원형으로 제시한 연산 이름은 네덜란드어 P(proberen, '시도하다')와 V(verhogen, '증가시키다')였으며, 이후 wait/signal로 표준화되었다.",101,,,576,333,1162,3783,0,tool_use,17055
closing__selfcheck__alias_strict,request,out_of_shot,term_entry,term_entry,True,네트워크,리퀘스트,1,False,28,100,265,True,"HTTP/1.1(RFC 2616)은 Request-Line을 메서드·URI·프로토콜 버전으로 형식화했으며, GET·POST·DELETE 등 HTTP 메서드가 요청의 의도를 구체적으로 구분한다.",107,,,1266,331,1297,3783,0,tool_use,20844
closing__selfcheck__alias_strict,boolean,out_of_shot,term_entry,term_entry,True,기타,불리언 | bool,2,False,20,108,255,True,C언어에서는 별도 타입 없이 0/1 정수로 대체되다가 C99에서 _Bool 타입으로 공식 편입되었다.,56,,,1578,331,1266,3783,0,tool_use,19760
closing__selfcheck__alias_strict,null,out_of_shot,term_entry,not_dev_term,False,,,0,False,0,0,0,False,,0,,,103,331,109,3783,0,tool_use,3268
closing__selfcheck__alias_strict,apple,branch_check,not_dev_term,not_dev_term,True,,,0,False,0,0,0,False,,0,,,224,331,106,3783,0,tool_use,3491
closing__selfcheck__alias_strict,lunch,branch_check,not_dev_term,not_dev_term,True,,,0,False,0,0,0,False,,0,,,129,331,82,3783,0,tool_use,2252
closing__selfcheck__alias_strict,mutext,branch_check,possible_typo,possible_typo,True,,,0,False,0,0,0,False,,0,mutex,True,109,332,116,3783,0,tool_use,3064
closing__selfcheck__alias_strict,redus,branch_check,possible_typo,possible_typo,True,,,0,False,0,0,0,False,,0,redis,True,150,332,104,3783,0,tool_use,3786
closing__selfcheck__alias_strict,semafore,branch_check,possible_typo,possible_typo,True,,,0,False,0,0,0,False,,0,semaphore,True,186,333,145,3783,0,tool_use,3161
